"Source","Target"
"PLS","YUL"
"POP","YHZ"
"SEA","YVR"
"SNU","YHZ"
"TLV","YUL"
"YLW","YVR"
"YQB","YUL"
"YUL","ZSA"
"YVR","AKL"
"YVR","YXY"
"YVR","YYJ"
"YWK","YZV"
"ZSA","PLS"
"CGB","GYN"
"CWB","POA"
"GYN","PMW"
"NAT","CNF"
"PNZ","CNF"
"AMS","HRE"
"AMS","JRO"
"AMS","KGL"
"AMS","SXB"
"AMS","UIO"
"ATH","CDG"
"ATH","MRS"
"ATL","CHA"
"ATL","CID"
"ATL","CLT"
"ATL","CRW"
"ATL","CVG"
"ATL","DEN"
"ATL","DFW"
"ATL","EVV"
"ATL","FWA"
"ATL","GSO"
"ATL","GSP"
"ATL","LEX"
"ATL","LHR"
"ATL","MIA"
"ATL","MSP"
"ATL","ORD"
"ATL","PHL"
"ATL","PHX"
"ATL","PWM"
"ATL","ROA"
"ATL","SYR"
"ATL","TYS"
"ATL","XNA"
"ATL","YYZ"
"AUH","BAH"
"BCN","JFK"
"BEL","STM"
"BGF","NSI"
"BKK","CNX"
"BLQ","LYS"
"BOD","FCO"
"BOD","NTE"
"BOS","LHR"
"BRU","LYS"
"BRU","NTE"
"CAN","CKG"
"CDG","BGF"
"CDG","HAM"
"CDG","IST"
"CDG","JFK"
"CDG","KUL"
"CDG","LHR"
"CDG","MIA"
"CDG","ORD"
"CDG","PHL"
"CDG","ROB"
"CDG","TBS"
"CDG","VIE"
"CDG","YUL"
"CDG","YYZ"
"CKG","LXA"
"CMN","TLS"
"DAR","AMS"
"DTW","MSY"
"DUB","JFK"
"DUS","NTE"
"EBB","AMS"
"EZE","MVD"
"FCO","LYS"
"FCO","SXB"
"FDF","PTP"
"FLR","LYS"
"FNA","CDG"
"GOT","LYS"
"GYE","AMS"
"HAM","TLS"
"HNL","LAX"
"JFK","LHR"
"JFK","MAD"
"JFK","MSY"
"JFK","PAP"
"KGL","EBB"
"LAX","OGG"
"LAX","PPT"
"LHR","SEA"
"LJG","KMG"
"LUN","AMS"
"LVI","HRE"
"LYS","MXP"
"LYS","PRG"
"LYS","VCE"
"MDT","ATL"
"MIA","PAP"
"MNL","TPE"
"MSP","MSY"
"MXP","NTE"
"NBO","DZA"
"NBO","LVI"
"NCE","TLV"
"NIM","OUA"
"PTP","SDQ"
"PUJ","SDQ"
"ROB","FNA"
"SDQ","CDG"
"SLU","FDF"
"STM","MAO"
"ALG","CDG"
"ALG","DJG"
"ALG","MRS"
"AMD","HYD"
"AUH","BOM"
"AUH","DEL"
"BBI","BOM"
"BBI","DEL"
"BBI","IXZ"
"BHO","BOM"
"BHO","DEL"
"BKK","BOM"
"BKK","SIN"
"BLR","IXE"
"BOM","CMB"
"BOM","IXE"
"BOM","JED"
"BOM","JNB"
"BOM","RPR"
"BOM","RUH"
"CCU","DIB"
"CCU","HYD"
"CCU","IXZ"
"CCU","MAA"
"CDG","DEL"
"COK","DEL"
"COK","SHJ"
"COK","TRV"
"DAC","DEL"
"DEL","DMM"
"DEL","HKG"
"DEL","JAI"
"DEL","KBL"
"DEL","NAG"
"DEL","SIN"
"FRA","PNQ"
"GOI","MAA"
"HKG","ICN"
"HKG","SFO"
"HKG","SIN"
"HYD","VTZ"
"IXZ","DEL"
"IXZ","MAA"
"LAX","NRT"
"MAA","MRU"
